date,open,high,low,close,volume,ticker,log_return,realized_vol_5d,realized_vol_20d,vol_spike_2d,avg_sentiment,sentiment_std,positive_ratio,negative_ratio,news_volume,sentiment_velocity,sentiment_lag1,sentiment_lag2,news_volume_lag1,vol_lag1,vol_lag2,vol_lag5,vol_momentum,price_momentum_5d,price_momentum_20d,volume_ma20,volume_surge,day_of_week
2024-03-21,175.45322885093574,175.8892630091755,169.29922879245808,169.82444763183594,106181300,AAPL,-0.0417156457876668,0.3691257847848349,0.2381494256104476,0,-0.26887703958791953,0.24663966771440304,0.3358997051909163,0.551037020861711,24,-0.26887703958791953,0.0,,11.0,0.10847866042619081,,,0.13097635917438727,,,,,3
2024-03-22,170.210942813777,171.48931715990707,168.5262776263353,170.72625732421875,71160100,AAPL,0.005296196937580593,0.3725540824350093,0.23889960540916466,0,-0.07835560406046094,0.11528257370276551,0.4488007881246053,0.3875301250697076,5,0.1905214355274586,-0.26887703958791953,0.0,24.0,0.3691257847848349,0.10847866042619081,,0.13365447702584465,,,,,4
2024-03-25,169.03166954174233,170.3893089389317,167.92176032191367,169.30914306640625,54288300,AAPL,-0.008335146638479942,0.37038322486694764,0.23913707339660897,0,-0.10190631595832826,0.16220021989623232,0.37132839328098444,0.4808531500584451,4,-0.023550711897867324,-0.07835560406046094,-0.26887703958791953,5.0,0.3725540824350093,0.3691257847848349,,0.13124615147033866,,,,,0
2024-03-26,168.4668365684045,169.87402832990531,168.0506261984825,168.17945861816406,57388400,AAPL,-0.00669467746080807,0.3390070333491954,0.23584235737502704,0,-0.058799168059909764,0.1885667140392432,0.42514639013920547,0.49161887684860456,6,0.0431071478984185,-0.10190631595832826,-0.07835560406046094,4.0,0.37038322486694764,0.3725540824350093,,0.10316467597416837,,,,,1
2024-03-27,168.87312383270142,172.0343565405087,168.57582642397568,171.74696350097656,60273300,AAPL,0.020990635847115153,0.3669724149877803,0.2511222004361022,0,0.1862059412610429,0.16566218519241882,0.4760228475438351,0.3632562031833512,12,0.24500510932095265,-0.058799168059909764,-0.10190631595832826,6.0,0.3390070333491954,0.37038322486694764,0.10847866042619081,0.1158502145516781,-0.02999944672886634,,,,2
2024-03-28,170.20102558587905,170.67669234048742,168.97220342186947,169.93345642089844,65672700,AAPL,-0.010615323582558442,0.20933182909798795,0.25283230450691047,0,0.12850482418057263,0.14469788611474693,0.45918533240076764,0.4313170176234639,6,-0.057701117080470266,0.1862059412610429,-0.058799168059909764,12.0,0.3669724149877803,0.3390070333491954,0.3691257847848349,-0.04350047540892252,0.0006418910267784739,,,,3
2024-04-01,169.64606274055888,169.70551918920845,167.95147834818596,168.49652099609375,46240500,AAPL,-0.008491824930383455,0.21076826275570612,0.2534182278156735,0,-0.0022101592555878666,0.1254409260270426,0.36501813111169823,0.49777489939690667,21,-0.1307149834361605,0.12850482418057263,0.1862059412610429,6.0,0.20933182909798795,0.3669724149877803,0.3725540824350093,-0.042649965059967404,-0.013060301110511707,,,,0
2024-04-02,167.55510167176752,167.81275133793278,166.71276161053132,167.3172607421875,49329500,AAPL,-0.007023327602925529,0.2087267883576934,0.2392541340983531,0,-0.19261378580974933,0.16301965075985386,0.300531947512285,0.5107346081127409,23,-0.19040362655416146,-0.0022101592555878666,0.12850482418057263,21.0,0.21076826275570612,0.20933182909798795,0.37038322486694764,-0.03052734574065971,-0.011764765258055143,,,,1
2024-04-03,167.2677201117247,169.14067408704202,167.05962251511946,168.11996459960938,47691700,AAPL,0.004786024501802414,0.20964135916026888,0.2176659760231688,0,-0.0920861226195136,0.14722298833148303,0.3190515208028362,0.48182766702644025,18,0.10052766319023573,-0.19261378580974933,-0.0022101592555878666,23.0,0.2087267883576934,0.21076826275570612,0.3390070333491954,-0.00802461686289993,-0.00035375318153307855,,,,2
2024-04-04,168.7541832986243,170.3694875068381,167.29745483398438,167.29745483398438,53704400,AAPL,-0.004904404879617776,0.09500930765631206,0.21734650376353284,0,-0.0994931716601743,0.22504311135682692,0.3438821291972112,0.5302098548070159,30,-0.007407049040660696,-0.0920861226195136,-0.19261378580974933,18.0,0.20964135916026888,0.2087267883576934,0.3669724149877803,-0.12233719610722078,-0.025907349837756444,,,,3
